target,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215
1,10,2,6,23,3,28,0,0,1,0,0,3,0,2,1,4,2,23,2,3,4,7,2,34,1,0,0,5,1,10,6,2,4,0,0,23,5,0,4,3,3,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,6,1,10,16,2,4,0,0,1,1,0,2,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,1,5,2,12,1,0,10,1,1,1,2,1,1,3,1,0,1,0,0,1,1,0,0,0,4,1,0,0,0,0,6,0,0,0,1,0,1,29,5,11,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,2,3,2,0,0,5,50,0,11,8,8,1,11,0,0,1,0,0,37,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,36,0,6,1,0,4
1,4,0,1,10,1,13,0,0,2,1,0,4,1,0,4,3,0,11,15,4,7,13,1,6,1,0,0,3,0,5,8,2,14,8,1,5,2,1,3,2,0,1,0,0,0,0,0,1,3,3,4,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,2,2,3,0,0,2,2,0,3,6,0,7,0,1,3,1,0,2,3,3,6,3,1,15,5,0,2,6,0,2,0,0,2,0,0,1,15,10,17,4,2,9,8,5,4,13,6,10,2,0,1,1,0,0,4,1,1,3,0,11,13,0,4,3,0,4,0,0,0,3,1,0,4,1,3,2,0,3,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,1,2,0,1,0,0,1,0,0,2,0,0,1,1,2,13,1,8,14,2,4,7,0,7,0,0,2,7,0,16,6,2,15,11,0,3,1,0,1,2,1,0,0,1,0,10,1,9,1,0,3
1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,6,14,1,4,3,2,12,10,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,4,0,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,1,2,0,1,1,0,2,27,0,1,1,0,0,1,0,0,14,0,3,43,7,2,5,1,4,54,3,9,0,0,0,7,0,2,1,1,0,7,2,1,1,2,17,4,0,1,2,1,5,1,0,1,8,1,46,4,0,3,15,6,37,13,0,18,0,0,0,2,0,1,3,0,28,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,0,3,0,0,0,0,0,0,0,1,2,0,0,1,1,0,3,0,0,0,0,0,1,1,1,0,9,1,13,11,1,2,1,0,4,8,0,2,0,0,0,2,0,0,0,1,6,1,0,0
1,7,0,1,16,5,12,1,0,1,0,0,1,0,0,0,2,0,5,2,2,9,18,6,19,1,0,0,10,3,8,1,0,21,1,0,2,1,0,0,4,1,1,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,1,6,28,11,4,2,0,0,0,0,0,10,1,5,6,2,3,9,1,3,0,3,2,3,0,1,6,2,1,2,1,9,0,0,2,0,1,0,5,3,4,4,0,4,0,0,0,11,0,5,1,2,3,0,2,6,2,0,13,0,0,0,3,0,6,6,0,37,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,10,0,0,0,2,0,3,1,2,15,0,0,0,6,1,0,1,2,2,0,0,2,0,0,1,52,1,17,9,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
0,1,2,4,5,1,4,1,3,0,0,0,1,0,2,2,1,1,1,1,6,1,2,4,8,2,3,1,12,9,8,0,5,7,0,0,1,4,0,0,10,20,0,12,4,4,0,4,1,6,1,1,7,17,1,0,0,0,0,0,0,1,0,1,3,7,0,2,0,1,1,1,0,3,1,1,3,7,0,0,2,1,0,1,1,0,0,1,3,3,2,3,2,1,4,6,2,2,1,1,11,15,2,0,1,3,1,1,0,6,0,0,2,1,3,10,12,15,0,2,0,2,1,1,3,0,0,2,8,1,1,0,0,1,1,0,3,2,4,3,7,5,0,1,4,1,2,2,1,0,6,2,3,6,0,0,0,0,1,2,0,0,2,5,23,4,4,0,9,6,6,2,15,6,5,2,10,4,0,0,3,2,0,0,1,6,0,9,1,7,0,5,2,7,0,2,4,11,0,0,0,0,1,1,1,0,0,0,1,2,0,2,1,4,1,0,0
1,0,1,0,0,0,0,1,1,3,5,1,0,0,1,0,2,0,1,0,1,7,1,1,0,0,3,1,0,0,0,1,0,2,1,2,0,1,1,1,7,0,1,2,0,1,1,0,0,1,3,5,18,4,0,4,5,16,1,2,1,0,6,8,3,2,2,0,1,0,0,1,0,0,1,0,0,0,1,1,2,3,8,5,0,0,1,1,16,2,0,6,17,40,16,13,2,0,10,1,8,2,2,3,1,1,2,4,0,0,5,2,2,1,2,4,0,14,3,8,1,1,10,11,43,16,6,2,3,13,4,3,0,1,6,6,3,2,2,2,0,0,0,2,0,0,1,0,0,0,1,3,1,8,12,6,1,0,4,2,12,1,4,0,4,8,2,1,1,1,3,1,1,1,1,1,1,2,1,2,0,0,1,1,1,3,1,0,0,2,0,1,0,0,0,1,3,0,0,0,0,3,1,0,0,0,3,6,1,1,0,0,0,0,0,0,0
0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,3,0,19,4,3,1,13,0,18,2,4,5,0,0,1,4,0,0,10,20,1,3,0,1,0,0,0,1,0,0,3,6,0,1,0,0,0,0,0,0,0,0,3,3,0,1,1,6,0,0,0,1,0,0,12,7,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,4,5,22,14,22,0,0,3,0,0,0,0,0,0,1,2,0,10,1,2,1,3,2,3,0,0,1,6,0,0,1,0,0,0,4,0,0,1,0,0,0,7,6,28,0,0,3,0,0,0,0,0,6,1,2,3,0,0,3,1,2,0,0,2,3,0,11,7,2,0,20,0,2,1,2,0,12,3,16,25,1,0,7,1,0,0,4,10,1,20,0,3,0,3,2,18,1,0,0,55,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,7,0,0,0
1,2,7,12,2,0,10,0,2,0,4,1,11,2,4,3,14,0,12,1,4,11,1,0,5,1,2,5,0,0,7,7,4,6,7,2,8,1,1,3,1,3,1,1,0,0,1,2,0,0,0,0,2,0,3,4,0,6,0,0,3,0,3,4,0,0,0,8,1,0,5,1,3,2,3,1,1,0,8,0,0,0,2,0,3,0,0,0,2,0,7,7,4,5,2,1,11,0,1,0,0,0,0,19,1,6,12,1,5,10,3,9,6,5,4,3,0,2,0,2,4,5,0,2,6,0,15,2,1,1,0,0,0,0,0,0,0,1,1,10,4,0,3,1,2,1,0,1,0,0,2,1,1,3,2,0,0,1,1,1,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,2,17,4,9,12,7,9,5,1,0,4,2,0,6,0,4,0,1,5,23,2,5,1,1,1,3,0,2,0,0,0,10,1,3,6,0,2
1,0,1,0,4,0,1,1,1,0,3,0,1,3,0,4,9,0,7,8,3,5,19,1,8,0,0,1,0,0,0,2,0,7,6,1,8,0,0,0,7,0,1,1,0,0,1,0,0,2,1,0,5,0,1,1,0,1,3,1,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,1,15,0,12,0,0,1,2,0,2,2,0,1,15,0,13,5,1,7,20,4,13,0,0,0,1,0,2,12,3,5,14,0,4,5,4,15,5,1,5,3,0,4,0,1,0,13,2,16,9,1,7,15,3,25,3,2,2,0,1,5,0,0,2,5,2,14,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,1,7,13,0,5,1,0,3,0,0,2,6,2,9,9,2,9,6,1,10,5,0,2,0,2,0,1,0,0,3,1,11,2,1,1
1,8,2,21,3,1,19,1,0,1,2,1,1,5,5,11,1,3,20,1,1,4,0,1,4,2,3,6,0,3,5,20,1,20,1,1,8,2,1,4,2,1,2,0,0,1,0,1,0,4,1,2,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,4,1,7,3,8,17,5,1,5,0,1,1,3,3,13,4,2,14,0,0,3,3,2,0,2,0,3,0,3,6,12,1,15,6,4,4,6,0,3,0,3,2,1,0,1,0,0,0,3,0,1,1,1,1,2,0,0,1,0,1,0,1,3,1,0,1,4,0,0,1,0,0,1,2,1,0,1,2,3,1,0,1,0,1,1,4,4,1,2,6,1,1,0,0,0,0,1,2,2,1,1,1,7,0,1,2,0,3,33,0,9,3,5,9,2,0,0,0,0,0,24,0,8,1,6,0,7,0,0,0,3,0,1,0,3,0,1,0,14,0,1,0,0,2
1,1,0,0,11,1,4,0,0,0,0,0,0,0,0,1,1,0,3,13,2,6,12,4,13,0,0,1,2,0,2,6,3,16,2,1,10,0,0,0,2,1,2,0,0,1,2,1,1,2,1,3,4,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0,0,2,1,0,0,2,0,0,14,1,8,2,1,2,2,1,1,9,0,3,18,2,7,15,2,2,14,2,4,2,0,0,3,1,2,5,2,6,7,0,3,9,0,3,12,1,19,0,2,5,0,0,1,3,3,10,5,2,6,8,2,12,10,1,5,3,0,2,3,1,1,4,3,16,2,0,2,2,0,0,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,2,2,1,1,1,2,0,0,1,0,0,0,1,3,1,0,2,3,0,2,6,1,4,3,2,4,1,1,0,10,5,21,10,3,6,5,0,6,1,1,3,0,0,0,0,0,1,0,2,12,3,0,4
0,1,0,0,13,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,36,0,21,0,0,1,6,0,3,0,0,1,0,0,2,0,1,1,2,0,0,1,0,5,0,0,0,15,2,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,0,0,12,0,0,42,6,2,1,1,1,0,1,2,35,1,13,12,4,0,0,0,0,8,0,5,0,0,0,3,0,2,1,0,3,0,1,0,0,0,0,0,1,1,0,1,11,0,1,2,0,1,8,0,0,3,1,11,9,17,1,27,0,0,0,0,0,1,0,14,15,5,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,1,1,0,4,3,0,2,0,0,0,2,4,13,0,0,2,12,1,29,0,0,2,1,4,3,0,0,4,1,0,0,0,0,0,3,7,21,3,0,8
